,Domain 0,Domain 1,Domain 2,Domain 3,Domain 4,Mean
0,44.09448818897638,,,,,44.09448818897638
1,53.93700787401575,,,,,53.93700787401575
2,56.2992125984252,,,,,56.2992125984252
3,56.10236220472441,,,,,56.10236220472441
4,56.49606299212599,,,,,56.49606299212599
5,56.10236220472441,,,,,56.10236220472441
6,56.69291338582677,,,,,56.69291338582677
7,57.08661417322835,,,,,57.08661417322835
8,57.08661417322835,,,,,57.08661417322835
9,58.66141732283464,,,,,58.66141732283464
10,60.03937007874016,,,,,60.03937007874016
11,60.62992125984252,,,,,60.62992125984252
12,60.62992125984252,,,,,60.62992125984252
13,60.62992125984252,,,,,60.62992125984252
14,61.023622047244096,,,,,61.023622047244096
15,61.41732283464567,,,,,61.41732283464567
16,60.62992125984252,,,,,60.62992125984252
17,60.43307086614173,,,,,60.43307086614173
18,61.023622047244096,,,,,61.023622047244096
19,61.023622047244096,,,,,61.023622047244096
20,60.43307086614173,,,,,60.43307086614173
21,60.43307086614173,,,,,60.43307086614173
22,60.8267716535433,,,,,60.8267716535433
23,60.62992125984252,,,,,60.62992125984252
24,60.43307086614173,,,,,60.43307086614173
25,60.03937007874016,,,,,60.03937007874016
26,59.44881889763779,,,,,59.44881889763779
27,60.03937007874016,,,,,60.03937007874016
28,60.23622047244095,,,,,60.23622047244095
29,61.22047244094488,,,,,61.22047244094488
30,60.8267716535433,,,,,60.8267716535433
31,60.23622047244095,,,,,60.23622047244095
32,60.43307086614173,,,,,60.43307086614173
33,59.84251968503937,,,,,59.84251968503937
34,59.84251968503937,,,,,59.84251968503937
35,59.44881889763779,,,,,59.44881889763779
36,59.44881889763779,,,,,59.44881889763779
37,59.645669291338585,,,,,59.645669291338585
38,59.84251968503937,,,,,59.84251968503937
39,59.645669291338585,,,,,59.645669291338585
40,60.23622047244095,,,,,60.23622047244095
41,60.43307086614173,,,,,60.43307086614173
42,60.03937007874016,,,,,60.03937007874016
43,60.03937007874016,,,,,60.03937007874016
44,60.23622047244095,,,,,60.23622047244095
45,60.23622047244095,,,,,60.23622047244095
46,59.645669291338585,,,,,59.645669291338585
47,60.23622047244095,,,,,60.23622047244095
48,60.62992125984252,,,,,60.62992125984252
49,61.22047244094488,,,,,61.22047244094488
50,61.41732283464567,,,,,61.41732283464567
51,61.023622047244096,,,,,61.023622047244096
52,60.8267716535433,,,,,60.8267716535433
53,61.023622047244096,,,,,61.023622047244096
54,60.23622047244095,,,,,60.23622047244095
55,60.43307086614173,,,,,60.43307086614173
56,60.8267716535433,,,,,60.8267716535433
57,60.62992125984252,,,,,60.62992125984252
58,60.43307086614173,,,,,60.43307086614173
59,60.23622047244095,,,,,60.23622047244095
60,60.23622047244095,,,,,60.23622047244095
61,59.84251968503937,,,,,59.84251968503937
62,59.25196850393701,,,,,59.25196850393701
63,58.85826771653543,,,,,58.85826771653543
64,58.46456692913386,,,,,58.46456692913386
65,58.85826771653543,,,,,58.85826771653543
66,58.46456692913386,,,,,58.46456692913386
67,58.46456692913386,,,,,58.46456692913386
68,58.66141732283464,,,,,58.66141732283464
69,58.66141732283464,,,,,58.66141732283464
70,59.05511811023622,,,,,59.05511811023622
71,58.66141732283464,,,,,58.66141732283464
72,58.85826771653543,,,,,58.85826771653543
73,58.46456692913386,,,,,58.46456692913386
74,58.66141732283464,,,,,58.66141732283464
75,58.46456692913386,,,,,58.46456692913386
76,58.267716535433074,,,,,58.267716535433074
77,58.66141732283464,,,,,58.66141732283464
78,58.267716535433074,,,,,58.267716535433074
79,58.85826771653543,,,,,58.85826771653543
80,59.44881889763779,,,,,59.44881889763779
81,58.85826771653543,,,,,58.85826771653543
82,59.44881889763779,,,,,59.44881889763779
83,59.645669291338585,,,,,59.645669291338585
84,59.44881889763779,,,,,59.44881889763779
85,59.44881889763779,,,,,59.44881889763779
